6C2A    ke
6C35    shui
6C34    shui
909B    qiong
6C30    qing
6C32    yun
6C3D    tun
9091    yi
9093    deng
6C38    yong
9097    han
8913    bao
8912    bao
8910    he
626E    ban
891B    lv
891A    zhu chu
8919    bei
8902    gua
890A    bian
8936    zhe
8934    lan
50BA    chi
8925    ru
8921    da
892B    chi
892A    tui tun
9E82    ji
9E87    jun qun
9E88    zhu
9E8B    mi
6B4C    ge
9E93    lu
6B49    qian
6B46    xin
6B47    xie
6B43    sha
9E9F    lin
6B7C    jian
6B7B    si
9EA6    mai
6B79    dai
9EB4    qu
9EB8    fu
6B67    qi
6B64    ci
6B65    bu
6B62    zhi
9EBD    mo
9EBE    hui
8069    kui
806A    cong
807F    yu
8071    ao
804A    liao
804B    long
804C    zhi
804D    ning
8042    nie
8043    dan
8046    ling
8058    pin
805A    ju
8052    guo
8054    lian
7CD5    gao
7CD7    qiu
7CD6    tang
7CD9    cao
7CDC    mi
7CDF    zao
7CC1    san
7CC5    rou
7CC7    hou
7CC8    xu
7CCA    hu
7CCD    ci
7CCC    zan
7CF8    mi
7CFB    xi ji
7CE0    kang
7CE8    jiang
7CEF    nuo
5999    miao
599E    niu
5992    du
5993    ji
5996    yao
5997    jin
5988    ma
598A    ren
598D    yan
5981    shuo
5982    ru
5983    fei
5984    wang
5986    zhuang
5987    fu
59B9    mei
59BB    qi
59BE    qie
59B2    da
59A8    fang
59A9    wu
59AA    yu
59AB    gui
59AE    ni
59AF    zhou
59A3    bi
59A4    yu
59A5    tuo
75AB    yi
75AE    chuang
75AF    feng
75AC    li
75A3    you
75A0    li
75A1    yang
75A4    ba
75A5    jie
75B8    dan da
75B9    zhen
75BE    ji
75BC    teng
75BD    ju
75B2    pi
75B3    gan
75B0    zhu
75B1    pao
75B4    ke
75B5    ci
758B    ya pi shu
758F    shu
7583    tuan
7586    jiang
759A    jiu
7599    ge
759F    nve nue yao
759D    shan
7591    yi
7596    jie
7597    liao
7594    ding
94C0    you
63B7    zhi
63B4    guo guai
63B3    lu
63B0    bai
63BE    yuan
63BC    guan
9955    tao
63BA    shan chan can
63B8    dan
63A7    kong
63A5    jie
63A3    che
63A2    tan
63A0    lve lue
63AE    qian
63AD    tian
63AC    ju
63AA    cuo
63A9    yan
63A8    tui
6396    ye
997A    jiao
997D    bo
997C    bing
997F    e
6390    qia
9971    bao
9970    shi
9972    si
9975    er
9974    yi
9977    xiang
6398    jue
9969    xi
9968    tun zhun
996B    yu
996A    ren
996D    fan
6382    dian
996F    jian
6380    xian
638F    tao
638E    ji
9963    shi
638C    zhang
9965    ji
638A    pou
6389    diao
6388    shou
8E40    die
8E41    pian
8E42    rou
8E44    ti
8E47    jian
8E48    dao
8E49    cuo
8E4A    qi xi
8E4B    ta
8E51    nie
8E52    pan
8E59    cu
8E66    beng
8E69    bie
8E6C    deng
8E6D    ceng
8E6F    fan
8E70    chu
8E72    dun
8E74    cu
8E76    jue
8E7C    pu
8E7F    cuan
6D8E    yan xian
6D8C    yong
9036    wei
6D89    she
9035    kui
903B    luo
6D85    nie
903E    yu
6D82    tu
903C    bi
9022    feng
6D9E    lai
6D9D    lao
9021    qun
9026    li
6D95    ti
6D94    cen
902E    dai
902F    lu
6D91    su
902D    huan
9012    di
6DAE    shuan
9010    zhu
9011    qiu
6DAB    guan
6DAA    fu
9014    tu
6DA8    zhang
6DA7    jian
901B    guang
6DA4    di
901E    cheng
901F    su
6DA1    wo guo
6DA0    wei
9002    shi
9003    tao
9000    tui
9001    song
9006    ni
9004    pang
6DB8    he
900A    xun
900B    bu
6DB5    han
9009    xuan
900F    tou
900D    xiao
8981    yao
8983    tan qin
8986    fu
5272    ge
527D    piao
527F    chao jiao
5261    yan shan
5265    bao bo
5267    ju
5269    sheng
526A    jian
526F    fu
5251    jian
5250    gua
5254    ti
5256    pou
525C    wan
525E    ji
5241    duo
5240    kai
5243    ti
5242    ji
524A    xue xiao
524D    qian
524C    la
94BF    dian tian
7F5A    fa
7F58    fu
7F5F    gu
7F51    wang
7F50    guan
7F57    luo
7F55    han
7F54    wang
7F42    ying
7F45    xia
7F44    qing
7F79    li
7F7E    zeng
7F72    shu
7F71    lan
7F74    pi
7F6A    zui
7F69    zhao
7F68    yan
7F6E    zhi
7F62    ba
7F61    gang
90BE    zhu
9CDE    lin
6536    shou
6539    gai
653F    zheng
9CD4    biao
6525    zuan
652F    zhi
9CC4    e
64E2    zhuo
64E4    xing
64E6    ca
9A74    lv
9E1F    niao
9E2A    gu
9E2B    dong
9E28    bao
9E29    zhen
64C5    shan
9E2C    lu
9E2D    ya
9E22    yuan
9E23    ming
9E20    jiu
9E21    ji
9E26    ya
64CD    cao
64CE    qing
9E25    ou
64D0    huan
9A7D    nu
64D2    qin
9E39    gua
9E3E    luan
9E3F    hong
9E3D    ge
9E32    qu
9E33    yuan
9E31    chi
9E36    si
9A7F    yi
64DE    sou
9E35    tuo
80F2    hai gai
80F3    ge
80F0    yi
80F1    guang
80F6    jiao
80F4    dong
80FA    an
80F8    xiong
80FC    pian
80FD    neng
80E1    hu
80E7    long
80E4    yin
80E5    xu
80EA    lu
80EB    jing keng
80E8    dong
80E9    ka
80EF    kua
80EC    nu
80ED    yan
80D6    pang pan
80D7    zhen
80DA    pei
80DB    jia
80D9    zuo
80DE    bao
80DC    sheng
80DD    zhi
80C2    shen
80C3    wei
80C0    zhang
80C1    xie
80C6    dan
80C4    zhou
80CE    tai
80CC    bei
80CD    gua
6339    yi
633A    ting
633D    wan
96EA    xue
96E9    yu
6332    suo
96EF    wen
96F3    li
6328    ai
632B    cuo
632A    nuo
96F7    lei
96F6    ling
632F    zhen
789F    die
6321    dang
6320    nao
96F9    bao
6322    jiao
6325    hui
96FE    wu
631B    luan
96C0    que qiao
96C7    gu
96C6    ji
631F    xie
631E    ta
6311    tiao
96C9    zhi
96CF    chu
96CE    ju
96CD    yong
6316    wa
6309    an
6308    qie
96D5    diao
630E    kua
6301    chi
6302    gua
6307    zhi
8ECE    wei
5927    dai da
5924    yin
5925    huo
592A    tai
592B    fu
5929    tian
592E    yang
592F    hang
592D    yao
5931    shi
5937    yi
5934    tou
593A    duo
5938    kua
5939    ga jia
593C    kuang
5902    zhi
5907    bei
5904    chu
590F    xia
590D    fu
6162    man
5916    wai
